FAO_commodity,assingment
"Pilchards, dried, salted or in brine",unsure
"Pilchards, dried, unsalted",unsure
"Pilchards, dried, whether or not salted, but not smoked",unsure
"Pilchards, salted or in brine",unsure
"Sardines and sprats, smoked",high
"Sardines, sardinellas, brisling or sprats, fresh or chilled",low
"Sardines, sardinellas, brisling or sprats, frozen",low
"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, in oil",high
"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",unsure
"Sardines, sardinellas, sprats minced, prepared or preserved",unsure
"South African pilchard, prep. or pres., not minced",unsure
"Balls, cakes, sausages, etc.prepared from minced fish",high
"Fingers, sticks, prepared with minced fish",high
Fish cakes,high
"Fish crustacean and mollusc products, unfit for human consumption nei",unsure
"Fish dried, whether or not salted, nei",unsure
"Fish fillets in blocks, frozen, nei",low
"Fish fillets, dried, salted or in brine",unsure
"Fish fillets, dried, salted or in brine, nei",unsure
"Fish fillets, fresh or chilled, nei",low
"Fish fillets, frozen, nei",low
"Fish fillets, prep. or pres, incl. raw, coated in batter or breadcrum, cooked or not, frozen",high
"Fish fillets, smoked",high
"Fish for culture incl. ova, fingerlings etc.",low
"Fish heads, tail, maws etc., dried, salted, or in brine",unsure
"Fish heads, tails, maws, tongues, fresh or chilled",low
"Fish heads, tails, maws, tongues, frozen",low
"Fish live, nei",unsure
"Fish liver oils, nei",high
"Fish livers, dried, salted or in brine",unsure
"Fish livers, fresh or chilled",low
"Fish livers, frozen",low
"Fish livers, roes, etc., prepared or preserved",unsure
"Fish livers, roes, etc., prepared or preserved, nei",unsure
"Fish meal fit for human consumption, nei",high
"Fish meals, nei",high
"Fish meat, whether or not minced nei, fresh or chilled",low
"Fish meat, whether or not minced, frozen, nei",low
"Fish meat,whether or not minced, fresh,chilled,frozen, nei",low
"Fish minced (=surimi), frozen",low
"Fish minced nei, in airtight containers prepared or preserved",unsure
"Fish minced nei, not in airtight containers prepared or preserved",unsure
"Fish minced nei, prepared or preserved",unsure
"Fish nei, dried and salted",unsure
"Fish nei, dried, unsalted",unsure
"Fish nei, prepared or preserved, not minced",unsure
"Fish nei, salted or in brine",unsure
"Fish nei, smoked",high
"Fish not minced, prep. or pres., in airtight containers",unsure
"Fish not minced, prep. or pres., not in airtight containers",unsure
Fish paste,high
"Fish portions and sticks, nei, frozen",high
"Fish products (not fillets), dried, salted or in brine",unsure
"Fish products (not minced), semi-preserved",unsure
"Fish roes, dried, salted or in brine, nei",unsure
"Fish roes, fresh or chilled",low
"Fish roes, frozen, nei",low
"Fish roes, prepared, nei",unsure
"Fish solubles, silages, nei",high
"Fish spiced, marinated, etc., not minced, prep. or pres.",unsure
"Fish steaks, frozen, nei",low
"Fish waste, nei",unsure
"Fish, dried, salted or smoked",unsure
"Fish, fresh or chilled, nei",low
"Fish, fresh, chilled or frozen",low
"Fish, frozen, nei",low
"Fish, sauce",high
"Fishmeal fit for human consumption, nei",high
"Fishmeals, nei",high
"Livers and roes, smoked",high
"Livers, roes, milt, dried, salted or in brine, nei",unsure
"Livers, roes, milt, fresh or chilled, nei",low
"Livers, roes, milt, frozen",low
"Livers, roes, milt, smoked, dried, salted or in brine",high
"Marine fish fillets in blocks, nei, frozen",low
"Marine fish fillets, frozen, nei",low
"Marine fish fillets, nei, frozen",low
"Marine fish fillets, smoked",high
"Marine fish meat,whether or not minced nei, fresh or chilled",low
"Marine fish nei, minced, prepared or preserved",high
"Marine fish nei, prepared or preserved, not minced",unsure
"Marine fish nei, smoked",high
"Marine fish, fillets, dried, salted or in brine, nei",unsure
"Marine fish, fresh or chilled, nei",low
"Marine fish, frozen, nei",low
"Miscellaneous dried fish, whether or not salted, nei",unsure
"Miscellaneous marine fish fillets, fresh or chilled, nei",low
"Miscellaneous marine fish meat, minced or not, frozen, nei",unsure
"Miscellaneous marine fish nei, dried, whether or not salted",unsure
"Miscellaneous marine fish, salted or in brine, nei",unsure
"Miscellaneous marine fishes nei, dried, whether or not salted",unsure
"Miscellaneous marine fishes, salted or in brine, nei",unsure
"Other  edible fish offal, dried, salted or in brine",unsure
"Saltwater fish nei, live",unsure
Solubles from fish,high
"Solubles from fish and marine mammals, nei",high
Ornamental fish nei,low
Ornamental saltwater fish,low
"Atka mackerel, fresh or chilled",low
"Atka mackerel, frozen",low
"Corb, frozen",low
"Croakers, fresh or chilled",low
"Croakers, frozen",low
"Dentex, fresh or chilled",low
"Drum, fresh or chilled",low
"Drum, frozen",low
"Eels, fresh or chilled",low
"Eels, frozen",low
"Eels, smoked",high
"Emperors, fresh or chilled",low
"Emperors, frozen",low
"Filefish, fresh or chilled",low
"Filefish, frozen",low
"Fusiliers, fresh or chilled",low
"Fusiliers, frozen",low
"Gilt-head seabream, fresh or chilled",low
"Gilt-head seabream, frozen",low
"Grouper, fresh or chilled",low
"Grouper, frozen",low
"Grunt, fresh or chilled",low
"Grunt, frozen",low
"Lizardfish, fresh or chilled",low
"Lizardfish, frozen",low
"Coastal fish meat, whether or not minced, fresh or chilled, nei",low
"Coastal fish meat, whether or not minced, frozen, nei",low
"Miscellaneous coastal fish nei, fillets, dried, salted or in brine",unsure
"Miscellaneous coastal fish, dried, whether or not salted",unsure
"Miscellaneous coastal fish, fillets in blocks, frozen, nei",low
"Miscellaneous coastal fish, fillets, fresh or chilled, nei",low
"Miscellaneous coastal fish, nei, dried, unsalted",unsure
"Miscellaneous coastal fish, nei, frozen",low
"Miscellaneous coastal fish, nei, smoked",high
"Miscellaneous coastal fish, not minced, prep. or pres., nei",unsure
"Miscellaneous coastal fish, salted or in brine, nei",unsure
"Miscellaneous coastal fish,nei, fresh or chilled",low
"Miscellaneous coastal fishes fillets, frozen,  nei",low
"Miscellaneous coastal fishes fillets, nei, frozen",low
"Miscellaneous coastal fishes, dried, whether or not salted",unsure
"Miscellaneous coastal fishes, fillets, nei, fresh or chilled",low
"Miscellaneous coastal fishes, nei, dried, unsalted",unsure
"Miscellaneous coastal fishes, nei, frozen",low
"Miscellaneous coastal fishes, nei,dried, salted or in brine",unsure
"Miscellaneous coastal fishes, not minced, prep. or pres., nei",unsure
"Miscellaneous coastal fishes, salted or in brine, nei",unsure
"Miscellaneous coastal fishes,nei, fresh or chilled",low
"Spinefeet (=rabbitfish), fresh or chilled",low
"Spinefeet(=rabbitfish), frozen",low
"Pandora, fresh or chilled",low
"Pandora, frozen",low
"Pony fishes, frozen",low
"Puffer, fresh or chilled",low
"Puffers, frozen",low
"Red mullet, fresh or chilled",low
"Red mullet, frozen",low
"Sandeels, dried, unsalted",unsure
"Sandlance, fresh or chilled",low
"Sandlance, frozen",low
"Sea catfish, fresh or chilled",low
"Sea catfish, frozen",low
"Seabass, fresh or chilled",low
"Seabass, frozen",low
"Seabreams nei, fresh or chilled",low
"Seabreams, frozen",low
"Snapper, fresh or chilled",low
"Snappers, frozen",low
"Snook, frozen",low
"Weakfish, fresh or chilled",low
"Weakfish, frozen",low
"Angler (=Monk) fillets, frozen",low
"Angler (=monk), fresh or chilled",low
"Angler (=monk), frozen",low
"Angler (=monk), meat, frozen",low
"Atlantic redfish, minced, frozen",high
"Atlantic redfishes fillets in blocks, frozen",low
"Atlantic redfishes, fillets, frozen",low
"Atlantic redfishes, fresh or chilled",low
"Atlantic redfishes, frozen",low
"Conger, fresh or chilled",low
"Conger, frozen",low
"Cusk-eel (=kingklip), fresh or chilled",low
"Cusk-eel (=kingklip), frozen",low
"Gurnard, fresh or chilled",low
"Gurnard, frozen",low
"Hairtails, fresh or chilled",low
"Hairtails, frozen",low
"John dory, fresh or chilled",low
"John dory, frozen",low
"Lumpfish roes, prepared",unsure
"Lumpfish roes, salted",unsure
"Demersal fish meat, whether or not minced, frozen, nei",low
"Miscellaneous demersal fish meat, fresh or chilled, nei",low
"Miscellaneous demersal fish nei, fillets, dried, salted or in brine",unsure
"Miscellaneous demersal fish, dried, whether or not salted, nei",unsure
"Miscellaneous demersal fish, fillets in blocks, frozen, nei",low
"Miscellaneous demersal fish, fillets, fresh or chilled, nei,",low
"Miscellaneous demersal fish, fillets, frozen, nei",low
"Miscellaneous demersal fish, nei, frozen",low
"Miscellaneous demersal fish, not minced, prep. or pres., nei",unsure
"Miscellaneous demersal fish, salted or in brine, nei",unsure
"Miscellaneous demersal fish, smoked, nei",high
"Miscellaneous demersal fish,nei, fresh or chilled",low
"Miscellaneous demersal fishes, fillets, nei,fresh or chilled",low
"Miscellaneous demersal fishes, nei, dried, salted or in brine",unsure
"Miscellaneous demersal fishes, nei, fillets, frozen",low
"Miscellaneous demersal fishes, nei, frozen",low
"Miscellaneous demersal fishes, not minced, prep. or pres., nei",unsure
"Miscellaneous demersal fishes, salted or in brine, nei",unsure
"Miscellaneous demersal fishes, smoked, nei",high
"Miscellaneous demersal fishes,nei, fresh or chilled",low
"Orange roughy, frozen",low
"Oreo dories, fresh or chilled",low
"Oreo dories, frozen",low
"Pacific redfishes (=ocean perch), fresh or chilled",low
"Pacific redfishes (=ocean perch), frozen",low
"Pike-conger, fresh or chilled",low
"Pike-conger, frozen",low
"Redfish fillets, fresh or chilled",low
Redfish meal,high
"Redfish meat, frozen, whether or not minced, nei",low
"Redfish nei, fillets, frozen",low
Redfish oil,high
"Redfish, frozen, nei",low
"Redfishes, fresh or chilled, nei",low
"Sablefish, fresh or chilled",low
"Sablefish, frozen",low
"Snoek, fresh or chilled",low
"Snoek, frozen",low
"Toothfish (Dissostichus spp.), fillets, fresh or chilled",low
"Toothfish (Dissostichus spp.), fillets, frozen",low
"Toothfish (Dissostichus spp.), fresh or chilled",low
"Toothfish (Dissostichus spp.), frozen",low
"Toothfish (Dissostichus spp.), meat, fresh or chilled",low
"Toothfish (Dissostichus spp.), meat, frozen",low
"Wolffish (=Catfish) fillets, frozen",low
"Wolffish (=catfish), fresh or chilled",low
"Wolffishes (=Catfishes), frozen",low
"Amberjack fillets, frozen",low
"Amberjacks, fresh or chilled",low
"Amberjacks, frozen",low
"Atlantic mackerel prepared or preserved, not minced",unsure
"Atlantic mackerel, fresh or chilled",low
"Atlantic mackerel, frozen",low
"Blue mackerel, frozen",low
"Bluefish, frozen",low
Capelin meal,high
"Capelin roes, frozen",low
"Capelin, fresh or chilled",low
"Capelin, frozen",low
"Chub mackerel prepared or preserved, not minced",unsure
"Chub mackerel prepared or preserved, not minced, in brine",unsure
"Chub mackerel prepared or preserved, not minced, in oil",high
"Chub mackerel prepared or preserved, not minced, in tomato sauce",unsure
"Chub mackerel, fresh or chilled",low
"Chub mackerel, frozen",low
"Cobia, fresh or chilled",low
"Cobia, frozen",low
"Dolphinfishes, fresh or chilled",low
"Dolphinfishes, frozen",low
"Flying fish, fillets, fresh or chilled",low
"Flyingfishes, fresh or chilled",low
"Flyingfishes, frozen",low
"Jack and horse mackerel prepared or preserved, not minced",unsure
"Jack and horse mackerel, frozen",low
"Jack and horse mackerels, fresh or chilled",low
"Mackerel fillets, frozen",low
"Mackerel prepared or preserved, not minced, nei",unsure
"Mackerel, dried, salted or in brine",unsure
"Mackerel, dried, whether or not salted, but not smoked",unsure
"Mackerel, minced, prepared or preserved",high
"Mackerels nei, frozen",low
"Mackerels nei, prep. or pres., not minced, in oil or in brine",high
"Mackerels nei, salted or in brine",unsure
"Mackerels, fillets, prepared or preserved",unsure
"Mackerels, nei, fresh or chilled",low
"Mackerels, smoked",high
"Icefish, frozen",low
"Miscellaneous pelagic fish fillets, frozen, nei",low
"Miscellaneous pelagic fish meat, nei, frozen",low
"Miscellaneous pelagic fish nei, dried, whether or not salted",unsure
"Miscellaneous pelagic fish nei, fillets, dried, salted or in brine",unsure
"Miscellaneous pelagic fish nei, minced, prepared or preserved",high
"Miscellaneous pelagic fish nei, prep. or pres., not minced",unsure
"Miscellaneous pelagic fish, fillets, fresh or chilled, nei",low
"Miscellaneous pelagic fish, nei, fresh or chilled",low
"Miscellaneous pelagic fish, nei, frozen",low
"Miscellaneous pelagic fish, nei, smoked",high
"Miscellaneous pelagic fishes fillets nei, frozen",low
"Miscellaneous pelagic fishes nei, minced, prepared or preserved",high
"Miscellaneous pelagic fishes, fillets, fresh or chilled, nei",low
"Miscellaneous pelagic fishes, nei, dried, salted or in brine",unsure
"Miscellaneous pelagic fishes, nei, fresh or chilled",low
"Miscellaneous pelagic fishes, nei, frozen",low
"Miscellaneous pelagic fishes, nei, smoked",high
"Miscellaneous pelagic fishes, salted or in brine, nei",unsure
"Miscellaneous pelagics nei, prep. or pres., not minced",unsure
"Pelagic fish meat, whether or not minced, fresh or chilled, nei",low
"Pacific sauries prepared or preserved, not minced",unsure
"Pomfrets, ocean breams, fillets, frozen",low
"Pomfrets, ocean breams, fresh or chilled",low
"Pomfrets, ocean breams, frozen",low
"Pomfrets, ocean breams, meat, frozen",low
"Saury, dried, salted or in brine",unsure
"Saury, dried, whether or not salted, but not smoked",unsure
"Saury, fresh or chilled",low
"Saury, frozen",low
"Scads, frozen",low
"Catsharks, nursehounds, fresh or chilled",low
"Catsharks, nursehounds, frozen",low
"Dogfish (Squalidae), fresh or chilled",low
"Dogfish (Squalidae), frozen",low
"Dogfish (Squalidae) and catshark fillets, frozen",low
"Porbeagle shark (Lamna nasus), fillets, frozen",low
"Porbeagle shark (Lamna nasus), fresh or chilled",low
"Porbeagle shark (Lamna nasus), frozen",low
"Shark  meat, frozen",low
"Shark fillets nei, frozen",low
"Shark fillets, fresh or chilled",low
"Shark fins, dried, salted, etc.",unsure
"Shark fins, dried, unsalted",unsure
"Shark fins, dried, whether or not salted, etc.",unsure
"Shark fins, fresh or chilled",low
"Shark fins, frozen",low
"Shark fins, prepared or preserved",unsure
"Shark fins, salted and in brine but not dried or smoked",unsure
Shark liver oil,high
Shark oil,high
"Sharks nei, fresh or chilled",low
"Sharks nei, frozen",low
"Sharks, dried, salted or in brine",unsure
"Sharks, dried, whether or not salted, but not smoked",unsure
"Sharks, fillets, dried, salted or in brine",unsure
"Rays and skates (Rajidae), fresh or chilled",low
"Rays and skates (Rajidae), frozen",low
"Rays, chimaeras meat, frozen",low
"Sharks, rays, chimaeras nei, frozen",low
"Sharks, rays, chimaeras, smoked, nei",high
"Sharks, rays, chimeras etc. meat, whether or not minced, fresh or chilled, nei",low
"Sharks, rays, chimeras, dried, whether or not salted, nei",unsure
"Sharks, rays, chimeras, salted or in brine, nei",unsure
"Sharks, rays, etc., dried, salted or in brine",unsure
"Sharks, rays, skates, fresh or chilled, nei",low
"Sharks,rays,chimaeras, nei fillets fresh or chilled",low
"Sharks,rays,chimaeras, skates, fillets,  frozen,  nei",low
"Sharks,rays,chimaeras, skates, nei fillets frozen",low
"Skates, fresh or chilled",low
"Skates, frozen",low
"Albacore (=Longfin tuna), fresh or chilled",low
"Albacore (=Longfin tuna), frozen, nei",low
"Albacore (=Longfin tuna), gilled, gutted, frozen",low
"Albacore (=Longfin tuna), heads-off, etc., frozen",low
"Albacore (=Longfin tuna), prep. or pres., not minced, nei",unsure
"Albacore (=Longfin tuna), prepared or preserved, not minced, in oil",high
"Atlantic(Thunnus thynnus), Pacific(T.orientalis) bluefin tuna, live",unsure
"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled",low
"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, frozen",low
"Bigeye tuna, fresh or chilled",low
"Bigeye tuna, frozen, nei",low
"Bigeye tuna, gilled, gutted, frozen",low
"Bigeye tuna, heads-off, etc., frozen",low
"Bonito (Sarda spp.), not minced, prepared or preserved, nei",unsure
"Bonito, dried, salted, or in brine",unsure
"Bonito, dried, whether or not salted, but not smoked",unsure
"Bonito, frozen",low
"Euthynnus exc. skipjack or stripe-bellied bonitos, frozen",low
"Euthynnus excl. skipjack or stripe-bellied bonitos, fresh or chilled",low
"Euthynnus excl. skipjack or stripe-bellied bonitos, frozen",low
"Euthynnus other than skipjack prep. or pres. not minced, nei",unsure
"Loins of Euthynnus other than skipjack, prep. or pres.",unsure
"Marlins, fresh or chilled",low
"Marlins, frozen",low
"Plain bonito prep. or pres., not minced",unsure
"Plain bonito, frozen",low
"Skipjack prepared or preserved, not minced, nei",unsure
"Skipjack tuna, fresh or chilled",low
"Skipjack tuna, frozen",low
"Skipjack tuna, gilled, gutted, frozen",low
"Skipjack tuna, heads-off, etc., frozen",low
"Skipjack tuna, smoked",high
"Skipjack, prepared or preserved, whole or in pieces, not minced, in oil",high
"Southern bluefin tuna(Thunnus maccoyii), fresh or chilled",low
"Southern bluefin tuna(Thunnus maccoyii), frozen",low
"Southern bluefin tuna(Thunnus maccoyii), live",unsure
"Spanish mackerel, fresh or chilled",low
"Spanish mackerel, frozen",low
"Swordfish fillets, fresh or chilled",low
"Swordfish fillets, frozen",low
"Swordfish meat, frozen",low
"Swordfish, fresh or chilled",low
"Swordfish, frozen",low
"Swordfish, meat, fresh or chilled",low
"Tuna loins and fillets, fresh or chilled",low
"Tuna loins and fillets, frozen",low
"Tuna loins, prepared or preserved",unsure
Tuna meal,high
"Tuna meat, whether or not minced, frozen",low
"Tunas nei, dried, unsalted",unsure
"Tunas nei, frozen",low
"Tunas nei, minced, prepared or preserved",high
"Tunas nei, salted or in brine",unsure
"Tunas nei, smoked",high
"Tunas prepared or preserved, not minced, in airtight containers",unsure
"Tunas prepared or preserved, not minced, in oil",high
"Tunas prepared or preserved, not minced, nei",unsure
"Tunas prepared or preserved, not minced, not in airtight containers",unsure
"Tunas, fresh or chilled, nei",low
"Tunas, gilled, gutted, frozen, nei",low
"Tunas, heads-off, etc., frozen, nei",low
"Tunas, meat, fresh or chilled",low
"Tunas, nei, dried, whether or not salted, but not smoked",unsure
"Tunas, bonitos, billfishes etc, fillets, frozen, nei",low
"Tunas, bonitos, billfishes fillets, fresh or chilled, nei",low
"Tunas, bonitos, billfishes, etc., dried, whether or not salted, nei",unsure
"Tunas, bonitos, billfishes, fillets, dried, salted or in brine, nei",unsure
"Tunas, bonitos, billfishes, fresh or chilled, nei",low
"Tunas, bonitos, billfishes, frozen, nei",low
"Tunas, bonitos, billfishes, meat, fresh or chilled, nei",low
"Tunas, bonitos, billfishes, meat, whether or not minced, frozen, nei",low
"Tunas, bonitos, billfishes, nei, minced, prepared or preserved",high
"Tunas, bonitos, billfishes, salted or in brine, nei",unsure
"Tunas, bonitos, billfishes, smoked, nei",high
"Yellowfin tuna, fresh or chilled",low
"Yellowfin tuna, frozen, nei",low
"Yellowfin tuna, gilled, gutted, frozen",low
"Yellowfin tuna, heads-off, etc., frozen",low
Jellyfish preparations,unsure
"Jellyfish, dried, salted or in brine",unsure
"Jellyfish, frozen",low
"Jellyfish, live, fresh or chilled",low
"Jellyfish, other than live, fresh or chilled",low
"Jellyfish, other than prepared or preserved",unsure
"Aquatic invertebrates, other than live, fresh or chilled, nei",low
"Aquatic invertebrates, other than prepared or preserved",unsure
"Miscellaneous aq. invert., dried, salted or in brine, nei",unsure
"Other aquatic invertebrates, frozen",low
"Other aquatic invertebrates, live, fresh or chilled",low
"Other aquatic invertebrates, prepared or preserved",unsure
"Other aquatic invertebrates, prepared or preserved, nei",unsure
"Sea-cucumber, dried, salted or in brine",unsure
"Sea-cucumber, frozen",low
"Sea-cucumber, live, fresh or chilled",low
"Sea-cucumber, other than live, fresh or chilled",low
"Sea-cucumber, prepared or preserved",unsure
"Sea-urchin, fermented or in brine",unsure
"Sea-urchin, frozen",low
"Sea-urchin, live, fresh or chilled",low
"Sea-urchin, other than live, fresh or chilled",low
"Sea-urchin, prepared or preserved",unsure
"Abalone meat, frozen",low
"Abalone meat, prepared or preserved",unsure
"Abalones, dried",unsure
"Abalones, shucked or not, live,fresh or chilled",low
"Abalones, shucked or not, other than live,fresh or chilled",low
"Stromboid conchs, frozen",low
"Stromboid conchs, live, fresh or chilled",low
"Top shell, live, fresh or chilled",low
"Univalves meat, prepared or preserved, nei",unsure
"Univalves nei, frozen",low
"Univalves, dried, salted or in brine, nei",unsure
"Univalves, live, fresh or chilled, nei",low
"Univalves, other than live, fresh or chilled, nei",low
"Arkshell, fresh or chilled",low
"Arkshells, frozen",low
"Bivalves nei, frozen",low
"Bivalves, live, fresh or chilled, nei",low
"Clam meat, frozen",low
"Clams, cockles, arkshells nei, dried, salted or in brine",unsure
"Clams, cockles, arkshells, etc., prep. or pres., nei",unsure
"Clams, cockles, arkshells, live, fresh or chilled",low
"Clams, cockles, arkshells, other than live, fresh or chilled",low
"Clams, prep. or pres., whether or not in airtight containers",unsure
"Clams, shucked or not, live, fresh or chilled",low
"Clams, shucked or not, other than live, fresh or chilled",low
"Miscellaneous molluscs, other than live, fresh or chilled, nei",low
"Mollusc preparations, not in airtight containers",unsure
"Molluscs live, for human food, nei",unsure
"Molluscs live, spat, for breeding and other purposes, nei",unsure
"Molluscs nei, dried, salted, pickled, etc.",unsure
"Molluscs nei, frozen",low
"Molluscs nei, live, fresh or chilled",low
"Molluscs nei, prepared or preserved",unsure
"Molluscs nei, shucked, fresh or chilled",low
"Miscellaneous molluscs & aq. inver., other than live, fresh or chilled, nei",low
"Molluscs and other aq. invertebrates, dried, salted, etc.",unsure
"Molluscs and other aq. invertebrates, live, fresh or chilled, nei",low
"Molluscs and other aq. invertebrates, prep. or pres.",unsure
"Molluscs and other aq.invertebrates, frozen",low
"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",low
"Mussel meat nei, frozen",low
"Mussel meat, prep. or pres., in airtight containers",unsure
"Mussel meat, prep. or pres., not in airtight containers",unsure
"Mussel meat, prepared or preserved",unsure
"Mussel meat, prepared or preserved, nei",unsure
"Mussels nei, other than live, fresh or chilled",low
"Mussels, dried, salted or in brine",unsure
"Mussels, dried, salted or in brine, nei",unsure
"Mussels, live, fresh or chilled, nei",low
"Mussels of the genus Mytilus spp., live, fresh or chilled",low
"Mussels of the genus Mytilus spp., other than live, fresh or chilled",low
"Mussels of the genus Perna spp. live, fresh or chilled",low
"Mussels of the genus Perna spp., other than live, fresh or chilled",low
"European flat oyster, frozen",low
"European flat oyster, shucked or not, live, fresh or chilled",low
"Flat oysters, frozen",low
"Flat oysters, shucked or not, live, fresh or chilled",low
"Oyster meat nei, frozen",low
"Oyster meat, prepared or preserved, nei",unsure
Oyster sauce,high
"Oysters, dried",unsure
"Oysters, dried, salted or in brine",unsure
"Oysters, in shell, live fresh or chilled",unsure
"Oysters, live",unsure
"Oysters, live fresh or chilled, nei",unsure
"Oysters, other than live, fresh or chilled, nei",low
"Oysters, shucked, fresh or chilled",low
"Scallop meat, prepared or preserved",unsure
"Scallops meat, frozen",low
"Scallops, dried, salted or in brine",unsure
"Scallops, dried, salted or in brine, nei",unsure
"Scallops, live, fresh or chilled, nei",low
"Scallops, other than live, fresh or chilled",low
"Scallops, shucked, fresh or chilled, nei",low
"Cephalopods nei, dried, salted or in brine",unsure
"Cephalopods nei, frozen",low
"Cephalopods, live, fresh or chilled, nei",low
"Cephalopods, preparations, not in airtight containers",unsure
"Cephalopods, prepared or preserved, nei",unsure
"Cephalopods, smoked",high
Cuttlefish bones,unsure
"Cuttlefishes, dried, salted or in brine",unsure
"Cuttlefishes, frozen",low
"Cuttlefishes, live, fresh or chilled, nei",low
"Cuttlefishes, other than live, fresh or chilled",low
"Cuttlefishes, prepared or preserved",unsure
"Cuttlefishes (Sepia off., Rossia macrosoma, Sepiola rondeleti), frozen",low
"Cuttlefishes (Sepia off., Rossia macrosoma, Sepiola rondeleti), live, fresh or chilled",low
"Cuttlefish and squid, other than live, fresh or chilled",low
"Cuttlefish and squid, prepared or preserved",unsure
"Cuttlefish and squids, smoked",high
"Cuttlefishes and squids, dried, salted or in brine, nei",unsure
"Cuttlefishes and squids, frozen, nei",low
"Cuttlefishes and squids, live, fresh or chilled, nei",low
"Octopus, dried, salted or in brine",unsure
"Octopus, frozen",low
"Octopus, live, fresh or chilled",low
"Octopus, other than live, fresh or chilled",low
"Octopus, prepared or preserved",unsure
"Octopus, smoked",high
Squid oil,high
"Squid rings, frozen",low
"Squids nei, frozen",low
"Squids, dried, salted or in brine",unsure
"Squids, live,fresh or chilled, nei",low
"Squids, other than live, fresh or chilled",low
"Squids, prepared or preserved, nei",unsure
"Squids, salted or pickled",unsure
"Squids, seasoned",unsure
"Squids (Illex spp.), frozen",low
"Squids (Illex spp.), live, fresh or chilled",low
"Squids (Ommastrephes sagittatus, Loligo spp.), frozen",low
"Squids (Ommastrephes sagittatus, Loligo spp.), live, fresh or chilled",low
Liver meal from aquatic mammals,high
"Marine mammal oils, nei",high
Meat meal from whales,high
Seal oil,high
Solubles from marine mammals,high
Sperm oil,high
Whale oil,high
Hizikia fusiforme (brown algae),unsure
Kelp,unsure
Kelp meal,high
"Other brown algae (laminaria, eisenia/ecklonia)",unsure
Undaria pinnafitida (brown algae),unsure
Green laver,unsure
Other edible seaweeds,unsure
Other inedible seaweeds,unsure
Other seaweeds and aquatic plants and products thereof,unsure
Agar agar in powder,unsure
Agar agar in strips,unsure
Agar agar nei,unsure
Carrageen (Chondrus crispus),unsure
"Laver, dry",unsure
"Laver, nei",unsure
Other red algae,unsure
"Seaweeds and other algae, fit for human consumption, nei",unsure
"Seaweeds and other algae, unfit for human consumption, nei",unsure
"Miscellaneous crustaceans, not frozen, nei",unsure
Coral and the like,unsure
Miscellaneous corals and shells,unsure
Abalone shells,unsure
Mother of pearl shells,unsure
Oyster shells,unsure
Powder and waste of shells,unsure
Sea snail shells,unsure
Shells nei,unsure
Trochus shells,unsure
Natural sponges nei,unsure
Natural sponges other than raw,unsure
Natural sponges raw,unsure
"Fish, crustacean and mollusc products, unfit for human consumption nei",unsure
"Aquatic animals oils and fats, nei",high
"Aquatic animals, oils and fats, nei",high
"Oils and fats of aquatic animals, nei",high
